"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/1999","AQS","320030022","1","3.2","ug/m3 LC","13","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"01/06/1999","AQS","320030022","1","5.1","ug/m3 LC","21","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"01/09/1999","AQS","320030022","1","4.2","ug/m3 LC","18","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"01/12/1999","AQS","320030022","1","4.3","ug/m3 LC","18","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"01/15/1999","AQS","320030022","1","5.2","ug/m3 LC","22","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"01/18/1999","AQS","320030022","1","6.8","ug/m3 LC","28","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"01/21/1999","AQS","320030022","1","4.2","ug/m3 LC","18","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"01/24/1999","AQS","320030022","1","3.8","ug/m3 LC","16","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"01/27/1999","AQS","320030022","1","3.4","ug/m3 LC","14","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"01/30/1999","AQS","320030022","1","10.6","ug/m3 LC","44","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"02/02/1999","AQS","320030022","1","3","ug/m3 LC","13","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"02/05/1999","AQS","320030022","1","5.6","ug/m3 LC","23","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"02/08/1999","AQS","320030022","1","6.5","ug/m3 LC","27","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
"02/11/1999","AQS","320030022","1","2.1","ug/m3 LC","9","Apex","1","100.0000","88101","PM2.5 - Local Conditions","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.3910300009014","-114.907429"
